S 6433e4,4 hit 
L 6039b8,4 hit 
S 643464,4 hit 
L 6039bc,4 hit 
S 6434e4,4 hit 
L 603a20,4 miss eviction 
S 643168,4 hit 
L 603a24,4 hit 
S 6431e8,4 hit 
L 603a28,4 hit 
S 643268,4 hit 
L 603a2c,4 hit 
S 6432e8,4 hit 
L 603a30,4 hit 
S 643368,4 hit 
L 603a34,4 hit 
S 6433e8,4 hit 
L 603a38,4 hit 
S 643468,4 hit 
L 603a3c,4 hit 
S 6434e8,4 hit 
L 603aa0,4 miss eviction 
S 64316c,4 hit 
L 603aa4,4 hit 
S 6431ec,4 hit 
L 603aa8,4 hit 
S 64326c,4 hit 
L 603aac,4 hit 
S 6432ec,4 hit 
L 603ab0,4 hit 
S 64336c,4 hit 
L 603ab4,4 hit 
S 6433ec,4 hit 
L 603ab8,4 hit 
S 64346c,4 hit 
L 603abc,4 hit 
S 6434ec,4 hit 
L 603b20,4 miss eviction 
S 643170,4 hit 
L 603b24,4 hit 
S 6431f0,4 hit 
L 603b28,4 hit 
S 643270,4 hit 
L 603b2c,4 hit 
S 6432f0,4 hit 
L 603b30,4 hit 
S 643370,4 hit 
L 603b34,4 hit 
S 6433f0,4 hit 
L 603b38,4 hit 
S 643470,4 hit 
L 603b3c,4 hit 
S 6434f0,4 hit 
L 603ba0,4 miss eviction 
S 643174,4 hit 
L 603ba4,4 hit 
S 6431f4,4 hit 
L 603ba8,4 hit 
S 643274,4 hit 
L 603bac,4 hit 
S 6432f4,4 hit 
L 603bb0,4 hit 
S 643374,4 hit 
L 603bb4,4 hit 
S 6433f4,4 hit 
L 603bb8,4 hit 
S 643474,4 hit 
L 603bbc,4 hit 
S 6434f4,4 hit 
L 603c20,4 miss eviction 
S 643178,4 hit 
L 603c24,4 hit 
S 6431f8,4 hit 
L 603c28,4 hit 
S 643278,4 hit 
L 603c2c,4 hit 
S 6432f8,4 hit 
L 603c30,4 hit 
S 643378,4 hit 
L 603c34,4 hit 
S 6433f8,4 hit 
L 603c38,4 hit 
S 643478,4 hit 
L 603c3c,4 hit 
S 6434f8,4 hit 
L 603ca0,4 miss eviction 
S 64317c,4 hit 
L 603ca4,4 hit 
S 6431fc,4 hit 
L 603ca8,4 hit 
S 64327c,4 hit 
L 603cac,4 hit 
S 6432fc,4 hit 
L 603cb0,4 hit 
S 64337c,4 hit 
L 603cb4,4 hit 
S 6433fc,4 hit 
L 603cb8,4 hit 
S 64347c,4 hit 
L 603cbc,4 hit 
S 6434fc,4 hit 
L 603940,4 miss eviction 
S 643560,4 miss eviction 
L 603944,4 hit 
S 6435e0,4 miss eviction 
L 603948,4 hit 
S 643660,4 miss eviction 
L 60394c,4 hit 
S 6436e0,4 miss eviction 
L 603950,4 hit 
S 643760,4 miss eviction 
L 603954,4 hit 
S 6437e0,4 miss eviction 
L 603958,4 hit 
S 643860,4 miss eviction 
L 60395c,4 hit 
S 6438e0,4 miss eviction 
L 6039c0,4 miss eviction 
S 643564,4 hit 
L 6039c4,4 hit 
S 6435e4,4 hit 
L 6039c8,4 hit 
S 643664,4 hit 
L 6039cc,4 hit 
S 6436e4,4 hit 
L 6039d0,4 hit 
S 643764,4 hit 
L 6039d4,4 hit 
S 6437e4,4 hit 
L 6039d8,4 hit 
S 643864,4 hit 
L 6039dc,4 hit 
S 6438e4,4 hit 
L 603a40,4 miss eviction 
S 643568,4 hit 
L 603a44,4 hit 
S 6435e8,4 hit 
L 603a48,4 hit 
S 643668,4 hit 
L 603a4c,4 hit 
S 6436e8,4 hit 
L 603a50,4 hit 
S 643768,4 hit 
L 603a54,4 hit 
S 6437e8,4 hit 
L 603a58,4 hit 
S 643868,4 hit 
L 603a5c,4 hit 
S 6438e8,4 hit 
L 603ac0,4 miss eviction 
S 64356c,4 hit 
L 603ac4,4 hit 
S 6435ec,4 hit 
L 603ac8,4 hit 
S 64366c,4 hit 
L 603acc,4 hit 
S 6436ec,4 hit 
L 603ad0,4 hit 
S 64376c,4 hit 
L 603ad4,4 hit 
S 6437ec,4 hit 
L 603ad8,4 hit 
S 64386c,4 hit 
L 603adc,4 hit 
S 6438ec,4 hit 
L 603b40,4 miss eviction 
S 643570,4 hit 
L 603b44,4 hit 
S 6435f0,4 hit 
L 603b48,4 hit 
S 643670,4 hit 
L 603b4c,4 hit 
S 6436f0,4 hit 
L 603b50,4 hit 
S 643770,4 hit 
L 603b54,4 hit 
S 6437f0,4 hit 
L 603b58,4 hit 
S 643870,4 hit 
L 603b5c,4 hit 
S 6438f0,4 hit 
L 603bc0,4 miss eviction 
S 643574,4 hit 
L 603bc4,4 hit 
S 6435f4,4 hit 
L 603bc8,4 hit 
S 643674,4 hit 
L 603bcc,4 hit 
S 6436f4,4 hit 
L 603bd0,4 hit 
S 643774,4 hit 
L 603bd4,4 hit 
S 6437f4,4 hit 
L 603bd8,4 hit 
S 643874,4 hit 
L 603bdc,4 hit 
S 6438f4,4 hit 
L 603c40,4 miss eviction 
S 643578,4 hit 
L 603c44,4 hit 
S 6435f8,4 hit 
L 603c48,4 hit 
S 643678,4 hit 
L 603c4c,4 hit 
S 6436f8,4 hit 
L 603c50,4 hit 
S 643778,4 hit 
L 603c54,4 hit 
S 6437f8,4 hit 
L 603c58,4 hit 
S 643878,4 hit 
L 603c5c,4 hit 
S 6438f8,4 hit 
L 603cc0,4 miss eviction 
S 64357c,4 hit 
L 603cc4,4 hit 
S 6435fc,4 hit 
L 603cc8,4 hit 
S 64367c,4 hit 
L 603ccc,4 hit 
S 6436fc,4 hit 
L 603cd0,4 hit 
S 64377c,4 hit 
L 603cd4,4 hit 
S 6437fc,4 hit 
L 603cd8,4 hit 
S 64387c,4 hit 
L 603cdc,4 hit 
S 6438fc,4 hit 
L 603980,4 miss eviction 
S 643d60,4 miss eviction 
L 603984,4 hit 
S 643de0,4 miss eviction 
L 603988,4 hit 
S 643e60,4 miss eviction 
L 60398c,4 hit 
S 643ee0,4 miss eviction 
L 603990,4 hit 
S 643f60,4 miss eviction 
L 603994,4 hit 
S 643fe0,4 miss eviction 
L 603998,4 hit 
S 644060,4 miss eviction 
L 60399c,4 hit 
S 6440e0,4 miss eviction 
L 603a00,4 miss eviction 
S 643d64,4 hit 
L 603a04,4 hit 
S 643de4,4 hit 
L 603a08,4 hit 
S 643e64,4 hit 
L 603a0c,4 hit 
S 643ee4,4 hit 
L 603a10,4 hit 
S 643f64,4 hit 
L 603a14,4 hit 
S 643fe4,4 hit 
L 603a18,4 hit 
S 644064,4 hit 
L 603a1c,4 hit 
S 6440e4,4 hit 
L 603a80,4 miss eviction 
S 643d68,4 hit 
L 603a84,4 hit 
S 643de8,4 hit 
L 603a88,4 hit 
S 643e68,4 hit 
L 603a8c,4 hit 
S 643ee8,4 hit 
L 603a90,4 hit 
S 643f68,4 hit 
L 603a94,4 hit 
S 643fe8,4 hit 
L 603a98,4 hit 
S 644068,4 hit 
L 603a9c,4 hit 
